codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
2.13 2.24 6 1;508;1;spira;838;10424;15200;VIA ANTONIO CAVALIERI DUCATI;17400;14365;4000/343434;A;293;NE;325;11.2681017656442;44.5146757952859;44.5146757952859, 11.2681017656442;407;508_2.13 2.24 6 1
2.18 2.19 8 1;96;1;spira;77;4219;25430;VIALE M. KARAMCHAND GANDHI;4568;16850;4000/343434;A;25;E;250;11.3103750297562;44.4985943485971;44.4985943485971, 11.3103750297562;419;96_2.18 2.19 8 1
2.19 0.127 8 1;173;1;spira;564;7215;44650;VIA PASUBIO;4701;14708;4000/343434;A;24;E;248;11.3172169050193;44.4986653950908;44.4986653950908, 11.3172169050193;422;173_2.19 0.127 8 1
2.19 2.19 8 1;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;11.3132403786183;44.4978131399409;44.4978131399409, 11.3132403786183;428;788_2.19 2.19 8 1
2.24 2.36 8 1;82;1;spira;56;2456;35100;VIA MARCO EMILIO LEPIDO;13544;8536;4000/343434;A;7;E;250;11.2711144710877;44.5188107966076;44.5188107966076, 11.2711144710877;448;82_2.24 2.36 8 1
2.27 2.28 8 1;303;1;spira;43;7774;21400;VIA EMILIA PONENTE;8592;15795;4000/343434;A;13;E;240;11.2909662500061;44.5107837519711;44.5107837519711, 11.2909662500061;455;303_2.27 2.28 8 1
2.28 2.29 8 1;302;1;spira;42;2605;21400;VIA EMILIA PONENTE;8744;8738;4000/343434;A;14;E;260;11.2980846229246;44.5085832490053;44.5085832490053, 11.2980846229246;458;302_2.28 2.29 8 1
2.29 2.17 2 1;879;1;spira;1160;2510;5800;VIA BATTINDARNO;8653;15510;4000/343434;A;26;SO;127;11.298881183575093;44.50309855193694;44.50309855193694, 11.298881183575093;459;879_2.29 2.17 2 1
2.30 0.127 2 1;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309082303102;44.5053154347885;44.5053154347885, 11.309082303102;466;188_2.30 0.127 2 1
2.30 2.29 4 1;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;11.3090333624097;44.5057316740375;44.5057316740375, 11.3090333624097;468;295_2.30 2.29 4 1
